台番号	G数	差枚	BB	RB
2626	7,379	+8,477	0	32
頭文字D 2nd
2627	3,184	-666	0	4
ゾンビランドサガ
2628	4,006	-95	35	0
シャーマンキング
2629	4,101	+3,000	10	0
スマスロ真・北斗無双
2630	4,561	-2,571	25	0
2715	4,797	+7,000	62	0
プリズムナナ
2631	2,739	+2,572	30	27
ガールズ&パンツァー 最終章
2632	3,017	-1,809	22	23
戦国コレクション6
2633	4,907	+1,953	0	9
3031	8,386	-428	0	10
3032	5,287	-333	0	7
3033	8,091	-952	0	13
3034	6,541	+2,238	0	13
3035	8,383	+1,286	0	13
3036	6,759	+2,762	0	10
3037	7,834	+96	0	13
七つの魔剣が支配する
2634	4,515	+715	0	14
ひぐらしのなく頃に 業
2635	610	-619	0	0
マジカルハロウィン8
2636	3,144	+477	20	0
BIRDIE WING ‐Golf Girls' Story‐
2637	4,112	-3,381	0	20
とある科学の超電磁砲2
2638	2,448	-2,095	0	2
ビッグドリーム THE GOLDEN PUSHER
2639	3,444	-1,190	0	10
吉宗
2640	2,220	+381	5	2
2641	2,338	+858	6	1
2642	2,160	-285	4	1
2643	2,950	+286	6	6
2644	4,092	-142	8	5
バイオハザード RE:2
2645	1,374	-48	10	0
頭文字D
2646	2,532	-1,142	11	13
ハイパーラッシュ
2647	5,525	+2,858	28	15
コードギアス反逆のルルーシュ3 C.C.&Kallen ver.
2648	3,292	+1,048	12	10
2649	4,162	-523	11	7
2650	3,577	-381	10	7
この素晴らしい世界に祝福を！
2651	0	+0	0	0
2652	5,324	+1,238	0	11
2653	6,606	-1,809	0	18
ダンジョンに出会いを求めるのは間違っているだろうか2
2654	3,361	+905	23	0
2655	859	-762	3	0
2656	2,630	-762	14	0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART
2657	5,721	+1,667	37	0
2658	4,053	+334	23	0
2659	8,037	+1,858	47	0
2660	3,764	-619	16	0
2661	4,553	-1,952	18	0
2662	5,458	+334	35	0
マクロスデルタ
2663	4,682	-1,952	0	10
新鬼武者2
2664	2,501	+1,619	0	9
ニューパルサーSP4 with 太鼓の達人
2665	1,972	-48	8	6
盾の勇者の成り上がり
2666	2,770	-285	0	11
押忍!番長ZERO
2667	4,273	-3,857	0	3
甲鉄城のカバネリ
2668	4,998	-1,904	14	0
ハードボイルド
2669	6,493	+810	23	14
2670	0	+0	0	0
2671	2,130	+238	8	4
クランキークレスト
2672	4,749	-1,762	12	9
2673	5,548	-1,381	15	16
2674	5,987	+1,572	24	23
SLOTドルアーガの塔
2675	2,556	+1,096	12	5
2676	1,610	-762	5	0
ディスクアップ ULTRAREMIX
2695	7,144	-476	23	14
2696	3,964	+810	16	8
痛いのは嫌なので防御力に極振りしたいと思います。
2697	2,085	+143	11	8
2698	2,493	-952	6	14
2699	578	-142	2	2
東京リベンジャーズ
2700	5,402	-4,476	0	12
2701	3,443	-2,523	0	6
2702	3,044	-381	0	8
無職転生 ～異世界行ったら本気だす～
2703	3,166	-2,000	0	17
2704	4,157	-857	0	23
2705	3,060	-381	0	7
ゴジラ対エヴァンゲリオン
2706	5,018	-3,619	30	0
回胴黙示録カイジ 狂宴
2707	2,684	-333	13	4
戦姫絶唱シンフォギア 正義の歌
2708	2,324	-2,476	0	3
GALFY
2709	3,114	+286	11	11
少女☆歌劇 レヴュースタァライト ‐The SLOT‐
2711	3,754	+1,477	19	0
乃木坂46
2712	3,321	+429	0	10
コードギアス 反逆のルルーシュ/復活のルルーシュ
2713	7,217	+5,667	0	9
新鬼武者3
2714	4,076	-381	0	8
タクトオーパス デスティニー
2716	7,701	+3,143	0	19
3187	2,558	-1,333	0	9
3188	2,037	+96	0	9
3189	1,811	-904	0	6
喰霊‐零‐Re
2717	8,123	-2,666	39	0
2718	7,963	+1,048	44	0
2719	8,162	-48	38	0
2720	8,096	+238	44	0
やじきた道中記参る！
2721	7,933	+1,286	0	29
2722	6,225	-3,000	0	16
2723	6,950	-4,285	0	23
2724	7,980	-2,333	0	19
2725	5,855	-5,095	0	21
2726	7,013	+1,905	0	16
2727	8,131	-3,238	0	26
2728	6,802	+1,096	0	21
2729	8,978	+1,572	0	24
2730	7,731	-4,952	0	30
2731	7,809	-4,285	0	28
2732	7,685	-666	0	24
東京喰種
2733	6,924	-1,809	0	23
2734	6,411	-4,285	0	22
2735	5,926	-5,095	0	14
2736	7,831	+5,905	0	13
2737	6,412	+2,191	0	18
2738	8,917	-2,571	0	22
2739	5,607	-2,762	0	18
2740	7,752	+5,762	0	17
2741	8,356	+3,381	0	21
2742	5,540	-4,238	0	13
2743	6,491	+286	0	21
2744	7,337	-809	0	21
2745	4,746	+2,715	0	7
2746	8,962	+4,667	0	22
2747	8,521	+3,238	0	22
2748	6,464	-4,190	0	19
2749	7,736	-4,619	0	22
2750	7,324	+3,143	0	14
2751	7,086	+7,286	0	12
2752	6,325	-1,047	0	18
2753	6,201	-4,142	0	14
2754	8,180	+2,334	0	17
2755	7,790	-5,095	0	19
2756	8,552	+5,762	0	26
2757	6,486	-2,476	0	15
2758	7,845	-3,381	0	22
2759	6,888	+3,381	0	19
2760	6,947	+3,000	0	15
2761	4,673	+7,572	0	7
2762	4,787	-2,666	0	15
2763	9,243	+5,048	0	19
2764	6,709	-2,904	0	13
2765	7,141	-4,047	0	22
2766	8,007	+1,096	0	17
2767	7,393	+2,048	0	16
2768	8,819	+2,429	0	29
2769	7,027	-1,714	0	18
2770	7,306	+3,524	0	15
2771	7,200	+5,334	0	14
2772	6,682	+1,619	0	19
2773	4,732	-3,809	0	19
2774	7,790	+477	0	23
2775	7,105	+572	0	17
2776	7,974	+3,191	0	19
2777	5,993	-904	0	15
2778	7,668	+2,238	0	22
2779	6,813	+3,572	0	17
2780	4,392	-4,714	0	14
2781	7,517	+4,429	0	22
2782	5,774	+762	0	11
2783	8,370	-2,190	0	22
2784	7,408	+1,286	0	17
2785	6,853	+4,810	0	16
2786	6,587	-2,381	0	19
2787	6,540	-3,571	0	21
2788	8,911	-2,047	0	27
2789	6,151	+2,953	0	14
2790	8,904	+4,429	0	26
2791	8,290	-4,619	0	21
2792	6,933	-2,904	0	21
2793	8,535	-5,095	0	28
2794	8,699	+4,143	0	27
沖ドキ!DUO アンコール
2821	2,365	+334	21	8
2822	6,414	-5,095	28	19
2823	496	+238	4	4
2824	267	+477	4	2
2825	6,352	+2,000	56	36
2926	2,964	-1,428	15	15
2927	453	-95	3	3
2928	3,087	-857	20	13
2929	1,983	+619	18	7
2930	3,302	-2,809	14	11
2931	3,863	+5,572	56	18
2932	2,050	-1,809	9	6
2933	1,776	+1,429	20	9
2934	3,475	-4,571	10	7
2935	3,370	-2,857	17	6
2936	5,038	+4,381	63	16
沖ドキ!BLACK
2826	0	+0	0	0
2827	2,936	+1,000	23	7
2828	5,736	-1,666	30	13
2829	1,821	+1,238	16	6
2830	2,988	+4,096	36	11
2831	2,486	-1,000	11	8
2832	1,119	+1,048	10	7
2833	5,575	-4,571	14	15
2834	1,356	+1,619	14	9
2835	6,273	-4,857	18	17
2836	2,300	-95	13	8
2837	3,930	-2,142	17	5
2838	288	+3,477	16	5
2839	2,860	-95	16	13
2840	802	+2,381	14	7
2841	3,256	-285	20	6
2878	699	+3,000	14	12
2879	1,025	+2,477	13	12
2880	848	+1,667	12	5
2881	4,276	-476	24	13
2882	1,862	+238	13	6
2883	3,951	-762	21	11
2884	3,666	-2,428	12	9
2885	5,603	-5,095	8	8
沖ドキ!GOLD‐30
2842	2,506	-762	13	5
2843	378	+2,334	12	4
2844	775	+2,905	17	4
2845	3,133	-95	21	3
2846	3,467	-1,904	14	6
2847	2,463	+1,381	21	7
2848	4,860	-3,000	16	12
2849	2,246	-857	9	8
2850	5,183	-2,428	20	13
ヤバチバ
2851	5,132	+477	21	12
2852	3,289	+4,810	19	10
2853	2,304	+6,238	17	8
2854	2,949	+4,619	17	5
2855	2,124	+5,238	18	6
L南国育ち SPECIAL
2856	6,104	+858	44	7
2857	1,317	-714	4	5
2858	1,895	-714	8	6
2859	1,174	+524	8	6
2860	5,538	-1,333	27	13
スマート沖スロ ニューキングハナハナV
2861	3,533	-666	12	5
2862	3,568	+524	14	7
2863	1,615	-1,190	4	0
2864	8,635	+2,524	38	21
2865	3,179	-1,285	7	8
沖ドキ!ゴージャス 30Φ
2866	1,676	+1,000	14	8
2867	4,350	-1,619	18	13
2868	3,513	-1,238	17	8
2869	1,316	+858	12	4
2870	5,434	-5,000	13	9
2871	4,769	-3,285	14	12
2872	2,359	-1,142	10	7
2873	4,919	-3,714	16	9
2874	1,976	-2,190	4	1
2875	5,423	-4,571	16	7
2876	3,598	-190	21	11
2877	5,812	+191	32	25
チバリヨ2
2886	3,635	+8,191	46	26
2887	1,423	-1,476	4	4
2888	2,783	-142	18	7
2889	749	-762	2	1
2890	1,418	-2,047	2	3
