台番号	G数	差枚	BB	RB
スマスロ サンダーV
2001	7,226	-2,285	20	15
2002	5,242	-2,190	14	6
2003	5,723	-142	21	11
2004	6,199	-2,428	14	17
2005	6,977	+2,191	31	23
2006	6,647	-1,095	23	9
2007	4,569	+572	17	12
2008	7,667	-2,476	21	18
SHAKE BONUS TRIGGER
2009	6,709	-95	18	18
2010	4,528	-1,571	9	11
2011	6,638	+5,334	30	12
2012	5,320	-523	12	20
2013	6,721	+1,905	23	19
ケロット5
2014	5,823	+286	24	21
2015	2,938	-285	12	5
2016	6,863	+477	31	19
2710	3,421	-571	11	13
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.
2017	6,695	+143	25	14
2018	3,030	-619	9	9
2019	2,602	-809	8	4
2020	4,897	-2,142	12	9
2021	2,987	-857	9	6
スマスロ ハナビ
2028	7,414	-1,619	22	12
2029	6,987	-1,333	18	18
2030	7,245	-762	22	20
2031	5,353	-476	18	11
2032	5,887	+715	23	13
2033	7,432	-238	23	23
2034	6,733	+1,619	26	27
2035	5,556	-2,666	12	14
バーサスリヴァイズ
2036	6,484	-619	19	19
2037	5,069	-428	13	14
2038	5,113	-762	15	11
2039	6,428	-1,666	16	19
ジャグラーガールズ
2040	8,219	+1,286	33	29
2041	6,679	+1,762	33	21
2042	7,063	+2,048	35	20
2043	6,182	-428	24	16
2044	5,311	+1,191	23	21
2045	7,202	+96	30	21
2046	2,838	-762	9	6
2047	7,720	+858	33	25
2048	4,495	-1,238	13	13
2049	6,679	+3,096	35	29
2050	7,467	+1,572	31	31
ファンキージャグラー2
2051	4,966	+524	23	10
2052	4,951	+143	18	14
2053	4,085	-1,000	10	14
2054	8,041	-1,523	25	25
2055	3,484	-142	13	7
2056	3,997	+238	17	7
2057	6,344	+2,143	31	22
2058	3,949	+96	16	11
2059	4,000	-1,190	10	13
2060	4,671	+191	18	14
2061	6,039	+2,048	30	19
2062	6,055	-1,190	20	15
2063	4,373	-523	14	13
2064	4,339	-190	17	9
2065	2,198	+96	11	2
2066	4,897	-666	15	16
2067	5,179	-904	16	15
2068	3,191	-2,523	3	9
2069	5,013	+1,381	23	14
2070	6,718	-142	26	13
2071	0	+0	0	0
2072	6,616	+1,905	33	19
2073	4,172	-333	15	10
2074	3,783	-285	14	12
2075	5,097	-1,762	14	15
2076	3,699	-619	12	11
2077	4,744	+1,810	24	18
2078	2,676	-666	7	7
2079	3,826	-666	15	7
2080	4,524	+1,000	22	13
2081	2,565	-1,381	5	6
2082	6,096	-619	19	24
2083	6,095	+3,238	33	24
ネオアイムジャグラーEX
2084	3,599	-238	12	8
2085	7,415	+1,572	31	31
2086	5,204	-952	15	16
2087	3,799	-1,666	9	9
2088	6,529	-571	19	25
2089	1,828	-1,142	4	1
2090	7,579	+1,905	37	16
2091	6,815	+334	26	19
2092	7,183	+1,143	27	27
2093	6,668	+381	25	23
2094	5,886	+619	25	13
2095	5,775	-2,333	14	13
2096	4,411	-809	14	14
2097	6,743	+762	29	18
2098	4,380	-381	17	6
2191	7,544	-762	23	27
2192	5,381	-1,142	18	11
2193	8,188	+1,191	32	27
2194	3,909	-333	14	9
2195	3,764	-1,571	10	6
2196	4,615	+619	22	9
2197	6,677	-666	21	21
2198	4,734	-714	17	11
2199	6,832	-381	24	22
2200	8,130	-2,381	19	28
2201	5,307	-1,428	13	20
2202	3,889	-1,095	11	10
2203	6,890	+334	24	28
2204	2,656	-904	8	5
2205	5,986	+1,524	29	17
2206	4,672	-95	19	9
2207	5,162	+667	21	16
2208	5,930	-95	21	20
2209	5,025	-476	16	15
2210	3,900	-1,095	11	11
2211	4,794	-1,047	16	8
2212	2,950	-1,238	4	3
2213	5,486	+96	21	14
2214	3,271	-1,523	6	12
2215	7,212	+1,334	32	20
2216	3,896	-333	14	11
2217	7,689	-809	22	34
2218	5,475	-1,238	18	11
2219	3,913	-1,333	9	10
2220	3,828	-190	14	10
2221	4,343	-904	12	14
2222	3,999	-2,000	9	4
2223	5,193	-95	19	12
2224	5,331	+2,619	30	16
2225	2,855	-1,000	7	9
2226	4,493	-95	16	12
2227	5,159	-1,047	17	10
2228	2,885	-1,857	5	5
2229	6,085	+3,096	32	26
2230	5,744	-476	17	16
2231	4,015	-1,238	8	14
2232	3,428	-190	11	10
2233	6,438	-285	18	25
2234	4,217	+334	16	13
2235	6,063	+143	23	19
2236	4,264	-95	14	12
2237	3,988	-904	12	13
2238	3,296	-2,333	4	8
2239	4,820	-381	16	16
2240	6,773	-523	21	23
2241	5,467	+762	24	17
2242	4,679	+2,286	22	24
2243	2,581	-809	8	3
2244	4,820	-238	17	14
2245	7,838	+1,810	32	36
2246	6,452	-142	23	15
2247	5,214	-1,238	14	16
2248	7,519	-381	25	25
ウルトラミラクルジャグラー
2099	6,650	+619	27	22
2100	5,237	-714	21	9
2101	6,469	+1,619	34	13
2102	6,520	-476	25	14
2103	3,375	-666	10	9
2104	6,221	+2,238	33	17
2105	3,197	-619	12	6
ミリオンゴッド‐神々の軌跡‐
2106	10,364	+4,667	0	0
2107	4,903	-2,000	0	0
2108	7,021	-4,000	0	0
2109	5,178	-48	0	0
2110	8,523	+810	0	0
2111	2,908	-1,904	0	0
2112	8,460	-571	5	0
2113	2,003	-1,619	0	0
2114	3,836	-3,190	0	0
2115	4,209	-2,952	2	0
2116	5,085	-3,952	0	0
2117	1,995	-2,476	0	0
2118	10,086	+1,858	1	0
2119	1,519	-809	0	0
2120	7,333	-1,476	1	0
2121	4,220	+619	0	0
2122	4,688	+3,143	9	0
2123	8,011	+2,334	0	0
2124	2,897	-2,666	1	0
2125	2,960	-2,238	0	0
2126	5,178	+96	19	0
2127	6,840	-1,047	3	0
2128	7,950	-1,619	0	0
2145	6,809	-666	3	0
2146	898	-1,047	0	0
2147	6,975	-5,095	0	0
2148	7,738	-3,476	0	0
2149	1,887	-1,285	0	0
2150	6,483	-2,238	0	0
2161	2,005	-1,285	0	0
2162	8,915	+4,143	0	0
2163	7,076	-4,000	0	0
2164	6,756	-4,238	0	0
2165	2,757	-2,333	0	0
2166	6,049	-2,571	1	0
2624	6,610	-3,857	2	0
真打 吉宗
2151	7,382	-1,476	0	22
2152	8,012	+2,762	0	16
2153	5,187	-5,095	0	14
2154	7,429	+5,429	0	17
2155	5,518	+1,572	0	8
2156	8,304	+524	0	21
2157	7,332	-3,571	0	17
2158	5,879	-3,381	0	19
2159	7,753	+3,524	0	16
2160	7,120	+3,762	0	11
ストリートファイター6
2249	4,521	-4,428	0	12
2250	6,100	-2,571	0	14
2251	5,518	-5,095	0	17
2252	6,127	-5,095	0	15
2253	5,149	-476	0	12
2280	6,299	+10,619	0	13
2281	5,477	+1,572	0	13
2282	5,423	+2,905	0	9
2283	7,613	+619	0	16
2284	5,937	-2,047	0	15
ソードアート・オンラインII
2254	7,368	-333	0	0
2255	5,591	+4,334	0	0
2256	8,734	+8,381	0	0
2257	9,125	+14,858	0	0
2258	8,495	-5,095	0	0
2259	8,803	-2,857	0	0
2260	8,796	+2,286	0	0
2261	9,128	-238	0	0
2262	9,051	-1,952	0	0
2263	8,630	-4,428	0	0
2264	7,854	+4,715	0	0
2265	9,895	+10,572	0	0
2266	8,296	-5,095	0	0
2267	9,164	+7,953	0	0
2268	8,883	-5,095	0	0
2269	7,807	+1,238	0	0
2270	7,725	-5,047	0	0
2271	9,054	+4,096	0	0
2272	8,120	+4,715	0	0
2273	9,052	+1,048	0	0
2274	8,058	-2,666	0	0
2275	8,098	+4,381	0	0
2276	8,097	-1,428	0	0
2277	8,426	-2,285	0	0
2278	8,480	-5,095	0	0
2279	5,633	-3,047	0	0
モンキーターンV
2285	2,101	-381	0	5
2286	8,555	+4,667	0	20
2287	1,869	-2,047	0	3
2288	8,200	+96	0	18
2289	5,484	-762	0	15
2290	7,533	+4,477	0	13
2291	6,870	+191	0	15
2292	3,452	-666	0	8
2293	6,241	+477	0	10
2294	2,196	-1,333	0	6
2295	8,056	+8,143	0	11
2296	3,138	-2,571	0	5
2297	5,156	+715	0	9
2298	2,085	-1,571	0	4
2299	7,010	-3,666	0	14
2795	6,575	-1,523	0	16
2796	2,803	-809	0	8
2797	3,829	+810	0	6
2798	4,233	-2,000	0	7
2799	6,917	+2,286	0	11
2800	1,166	-904	0	3
2801	4,984	+2,524	0	9
2802	3,150	-1,904	0	7
2803	5,221	-3,381	0	10
2804	1,511	-1,333	0	2
2805	5,429	-666	0	11
2806	3,305	-2,523	0	5
2807	2,332	+286	0	5
2808	7,444	+9,286	0	13
2809	1,420	-238	0	5
2810	3,811	-1,285	0	10
2811	6,733	-1,857	0	17
2812	0	+0	0	0
マイジャグラーV
2300	8,516	+477	29	31
2301	7,804	+1,143	29	29
2302	8,031	-857	27	24
2303	7,572	+2,286	36	25
2304	7,723	-476	24	23
2305	7,318	-1,095	24	23
2306	7,164	-48	25	19
2307	6,485	-95	25	14
2308	8,158	-48	29	27
2309	8,119	-762	28	25
2310	7,482	+905	33	22
2311	8,245	+3,762	46	25
2312	6,186	+334	25	18
2313	7,171	-1,047	22	20
2314	0	+0	0	0
2315	6,995	+477	29	19
2316	7,297	-762	22	23
2317	7,249	+905	27	25
2318	7,969	+905	31	29
2319	7,068	-238	26	17
2320	7,661	+191	28	27
2321	7,996	+1,381	36	26
2322	7,901	+2,619	33	38
2323	8,097	+381	31	21
2324	8,663	-619	28	27
2325	7,877	-666	29	18
2326	7,302	+1,096	32	17
2327	6,784	-2,190	19	16
2328	7,328	-1,428	23	20
2329	7,946	+2,905	40	26
2465	6,591	-1,571	17	21
2466	7,580	-1,381	25	17
2467	7,820	+953	30	28
2468	8,275	+1,429	32	32
2469	7,312	-619	25	19
2470	7,146	-3,142	17	16
2471	5,815	-1,571	16	14
2472	7,669	+238	29	23
2473	7,999	+143	25	30
2474	8,273	+3,524	46	20
2475	5,539	-3,285	10	8
2476	6,517	-1,904	17	21
2477	7,253	-1,000	24	19
2478	5,291	-619	19	13
2479	9,727	-523	34	24
2480	6,280	+334	25	16
2481	8,492	-1,095	30	21
2482	7,794	+477	34	14
2483	6,300	-952	20	14
2484	8,469	+96	29	32
2485	7,230	+191	29	21
2486	7,478	-1,238	23	20
2487	7,236	-428	23	28
2488	0	+0	0	0
2489	7,259	+667	30	19
2490	7,398	-381	28	18
2491	7,325	+2,429	37	19
2492	6,779	-2,095	17	19
2493	6,070	+1,905	28	20
2494	0	+0	0	0
2495	8,268	+2,429	36	36
ゴーゴージャグラー3
2330	6,071	+477	26	16
2331	6,905	+619	31	20
2332	6,399	+572	26	21
2333	1,551	-714	2	5
2334	6,453	+1,667	31	25
2335	2,257	-857	6	6
2336	6,451	-285	25	17
2337	2,737	-952	9	4
2338	8,551	+667	31	35
2339	2,026	-666	6	4
2340	7,214	+953	27	37
2341	3,161	-2,333	5	5
2342	6,022	+1,524	29	24
2343	3,173	-1,333	9	4
2344	6,764	-1,047	18	25
2345	5,772	-1,523	19	14
2346	5,847	-1,857	18	12
2347	4,833	+1,334	23	17
2348	3,853	-1,190	12	7
2349	6,222	+1,238	28	23
2350	7,407	+1,953	30	39
2351	5,193	-333	18	17
2352	5,805	+1,572	29	21
2353	6,689	+143	25	23
2354	4,230	-619	14	14
2355	4,424	-1,142	14	13
2356	3,588	-904	11	10
2357	6,775	+2,810	36	25
2358	5,107	-1,857	11	18
2496	6,242	+953	25	22
2497	5,131	-428	18	15
2498	2,575	-904	7	5
2499	5,592	-2,190	15	12
2500	5,231	-95	18	21
2501	6,417	+1,572	28	24
2502	2,828	-95	11	7
2503	4,582	+1,238	21	19
2504	1,776	-762	3	7
2505	6,585	-381	25	19
2506	6,965	+1,905	35	20
2507	7,576	-523	26	27
2508	2,359	-952	8	3
2509	6,076	-571	24	17
2510	7,797	-1,142	25	26
2511	4,905	-95	21	14
2512	2,876	-1,381	6	8
2513	6,183	+238	24	22
2514	1,301	-1,142	2	1
2515	4,776	-1,714	14	12
2516	3,529	-1,904	7	7
2517	1,386	-619	4	1
2518	4,584	+429	19	15
2519	6,313	+2,096	32	19
スマスロ北斗の拳
2359	6,106	-2,857	49	15
2360	4,849	-3,000	32	8
2361	3,359	-1,381	23	9
2362	4,122	-2,285	27	7
2363	5,696	-1,762	46	9
2364	3,380	-571	34	8
2365	3,162	+2,048	49	6
2366	3,858	-2,714	21	9
2383	3,667	-666	37	7
2384	2,180	+381	27	4
2385	3,124	+1,238	47	9
2386	3,589	-2,381	22	10
2387	3,803	+858	45	10
2388	3,165	-1,904	20	7
2389	3,625	-3,238	16	5
2390	4,178	-2,238	30	12
北斗の拳 転生の章2
2367	3,835	-1,857	0	8
2368	1,455	-666	0	2
2369	6,465	+4,000	0	10
2370	533	+524	0	1
2371	8,046	+13,096	0	10
2372	371	+96	0	1
2373	2,758	-1,381	0	5
2374	4,757	+7,286	0	5
2375	7,404	-2,666	0	13
2376	7,240	-4,142	0	14
2377	1,397	-190	0	2
2378	2,372	-1,809	0	4
2379	1,251	-381	0	4
2380	5,951	+477	0	15
2381	4,359	-523	0	11
2382	3,397	-3,285	0	6
2520	3,303	+5,619	72	10
2521	808	-333	6	3
2522	4,064	-952	38	12
2523	1,731	+5,381	56	7
2524	2,262	-238	24	6
2525	372	-285	2	1
2526	4,776	+2,572	77	18
2527	3,574	-904	32	12
2528	4,038	-2,523	32	13
2529	3,236	+4,477	64	10
2530	2,890	-2,666	15	5
2531	3,447	-3,095	17	9
2532	4,078	+667	49	16
2533	973	-238	10	2
2534	4,192	+2,477	67	11
2535	3,534	-1,666	27	10
2536	4,774	+5,048	81	20
2537	794	+477	12	3
2538	1,620	-1,904	5	4
2539	2,260	-1,571	13	4
2540	3,717	-1,904	31	9
2541	4,254	+572	53	16
2542	398	-238	2	1
2543	2,906	-1,428	24	6
2544	928	+286	12	2
2545	1,523	-428	14	5
2546	3,980	+7,905	96	13
2547	2,739	-571	27	8
マギアレコード 魔法少女まどか☆マギカ外伝
2391	3,638	-1,000	10	0
2392	455	-666	1	0
2393	509	-95	2	0
2394	2,714	+1,334	8	0
2395	406	-619	1	0
2396	2,149	+96	5	0
2397	2,034	-1,285	6	0
2398	3,916	+858	6	0
2399	2,580	-1,666	10	0
2400	4,747	+5,429	6	0
2401	457	+96	3	0
2402	3,763	+143	13	0
2403	861	-190	3	0
2404	290	-381	1	0
2405	879	-428	2	0
2406	1,934	-1,285	8	0
2407	4,534	+191	12	0
2408	6,790	+96	20	0
2409	785	-381	2	0
2410	4,048	+96	19	0
2411	5,515	-3,571	16	0
2412	1,257	-809	3	0
2413	250	-285	1	0
2414	362	-428	1	0
2415	7,368	+3,619	25	0
2416	74	-95	1	0
2417	2,335	-95	6	0
2418	3,001	-762	9	0
かぐや様は告らせたい
2419	1,222	-1,523	1	2
2420	4,564	-428	20	6
2421	885	-1,047	1	1
2422	3,440	-1,238	14	4
2423	2,041	-1,190	7	1
2424	4,496	+2,524	30	4
2425	647	-714	1	1
2426	494	-476	1	0
2427	3,857	-2,762	12	5
2428	1,140	-952	3	1
2429	2,036	-619	8	4
2430	2,831	-2,333	5	8
2431	1,078	-1,047	2	3
2432	1,336	-666	5	1
2433	3,506	+5,667	31	4
2434	2,889	-3,476	4	2
ハッピージャグラーVIII
2435	6,762	+524	30	14
2436	2,010	-952	5	3
2437	4,597	+238	20	9
2438	6,924	+429	25	24
2439	3,684	-428	11	13
2440	6,811	+810	28	22
2441	7,021	+477	28	25
2442	2,436	-1,285	4	6
2443	5,955	+1,381	27	19
2444	3,276	+191	12	11
2445	4,695	+762	22	13
2446	5,564	-619	18	18
2447	2,436	-523	7	7
2448	3,675	-95	15	8
2449	3,025	+334	11	11
2450	5,240	-333	19	14
2451	4,562	-1,095	14	11
ミスタージャグラー
2452	5,639	+1,572	26	18
2453	5,057	+1,096	22	17
2454	2,305	-1,285	4	7
2455	5,057	+96	20	18
2456	5,047	+524	23	13
2457	4,506	+96	18	12
2458	4,438	-1,000	13	13
2459	5,140	+1,953	29	10
2460	3,487	-1,142	11	9
2461	3,523	+191	15	12
2462	3,929	-95	17	7
2463	6,613	+619	28	19
2464	7,357	+2,715	37	24
スマスロ炎炎ノ消防隊2
2548	9,215	+8,096	0	20
2549	1,175	-619	0	3
2550	696	-333	0	2
2551	4,989	-381	0	10
2552	7,058	+524	0	19
2553	1,217	-1,238	0	1
2554	6,082	-2,142	0	17
2555	3,686	-2,095	0	7
2556	1,231	-1,142	0	4
2557	3,879	-619	0	11
2558	2,023	+2,429	0	1
2559	2,984	-3,190	0	6
2560	4,849	+1,238	0	12
2561	8,333	+1,286	0	20
2562	7,703	-5,095	0	17
2563	2,631	-857	0	6
2564	4,236	+1,905	0	6
2565	4,367	+2,429	0	9
2566	4,028	+143	0	7
2567	2,418	-904	0	8
2568	2,786	-1,333	0	6
2569	4,060	+715	0	6
2570	1,278	-523	0	3
2571	4,448	+2,953	0	11
からくりサーカス2
2572	5,379	+2,905	0	12
2573	7,281	+10,381	0	25
2574	4,101	+96	0	9
2575	5,933	+1,238	0	15
2576	2,063	+334	0	4
2577	5,039	+1,381	0	10
2578	2,336	-238	0	6
2579	7,945	+9,143	0	19
2580	8,534	+3,715	0	24
2581	4,420	-4,190	0	8
2582	2,526	-142	0	9
2583	3,848	+477	0	9
2584	5,424	+572	0	8
2585	5,351	+6,858	0	11
2586	3,299	-4,428	0	8
2587	6,755	+286	0	18
2588	3,829	-1,619	0	11
2589	4,891	+3,762	0	12
2590	6,579	+5,953	0	14
2591	1,987	-809	0	8
2592	6,707	+12,572	0	21
2593	1,919	-714	0	3
2594	4,010	-2,571	0	6
2595	1,410	-1,476	0	4
2596	7,448	-95	0	24
2597	4,122	-952	0	14
2813	7,421	-1,762	0	16
2814	8,409	+1,048	0	13
2815	4,657	-3,047	0	11
2816	4,243	-1,333	0	8
2817	4,570	-2,904	0	9
2818	8,096	+238	0	12
2819	3,183	-762	0	7
2820	7,273	+4,000	0	17
とある魔術の禁書目録2
2598	9,583	-1,523	0	28
2599	9,001	+3,000	0	18
2600	8,666	-4,190	0	23
2601	8,950	+3,096	0	24
2602	7,801	-2,047	0	30
2603	9,184	-3,666	0	34
2604	8,187	+4,572	0	18
2605	8,603	+11,429	0	23
革命機ヴァルヴレイヴ2
2606	5,900	+1,810	53	6
2607	5,780	+8,143	100	5
2608	4,911	+3,143	66	3
2609	4,269	+381	43	2
2610	5,020	-3,857	18	1
2611	5,439	+5,524	75	4
2612	5,756	+1,381	59	4
2613	4,787	-3,809	24	6
2614	3,391	+5,048	57	1
2615	4,173	-1,762	18	4
2616	5,854	+2,096	74	5
2617	4,390	-3,095	15	6
2618	3,174	+6,143	79	5
2619	5,314	+3,762	57	4
2620	7,406	-1,762	49	9
2621	5,825	-2,333	27	7
GI優駿倶楽部黄金
2622	2,454	+2,238	0	7
ダーリン・イン・ザ・フランキス
2623	7,967	-2,000	0	25
バンドリ！
2625	1,845	-1,523	0	5
HEY！エリートサラリーマン鏡
