date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-19,楽園大宮店,2318,マイジャグラーV,3566,-571,14,4,0,198.1,254.7,891.5,,,,,
2026-08-19,楽園大宮店,2319,マイジャグラーV,8080,-333,31,19,0,161.6,260.6,425.3,,,,,
2026-08-19,楽園大宮店,2320,マイジャグラーV,6261,-1762,17,16,0,189.7,368.3,391.3,,,,,
2026-08-19,楽園大宮店,2321,マイジャグラーV,8420,-3809,19,20,0,215.9,443.2,421.0,,,,,
2026-08-19,楽園大宮店,2322,マイジャグラーV,5024,-1285,16,12,0,179.4,314.0,418.7,,,,,
2026-08-19,楽園大宮店,2323,マイジャグラーV,5719,-3904,9,10,0,301.0,635.4,571.9,,,,,
2026-08-19,楽園大宮店,2324,マイジャグラーV,3981,-1476,10,7,0,234.2,398.1,568.7,,,,,
2026-08-19,楽園大宮店,2325,マイジャグラーV,6335,-2285,15,15,0,211.2,422.3,422.3,,,,,
2026-08-19,楽園大宮店,2326,マイジャグラーV,6238,238,26,13,0,159.9,239.9,479.8,,,,,
2026-08-19,楽園大宮店,2327,マイジャグラーV,4370,-2095,9,10,0,230.0,485.6,437.0,,,,,
2026-08-19,楽園大宮店,2328,マイジャグラーV,5446,524,24,14,0,143.3,226.9,389.0,,,,,
2026-08-19,楽園大宮店,2329,マイジャグラーV,8947,-190,31,29,0,149.1,288.6,308.5,,,,,
2026-08-19,楽園大宮店,2330,ゴーゴージャグラー3,6900,2810,39,22,0,113.1,176.9,313.6,,,,,
2026-08-19,楽園大宮店,2331,ゴーゴージャグラー3,3337,524,13,16,0,115.1,256.7,208.6,,,,,
2026-08-19,楽園大宮店,2332,ゴーゴージャグラー3,1653,-95,7,3,0,165.3,236.1,551.0,,,,,
2026-08-19,楽園大宮店,2333,ゴーゴージャグラー3,4045,143,17,12,0,139.5,237.9,337.1,,,,,
2026-08-19,楽園大宮店,2334,ゴーゴージャグラー3,1652,-523,5,2,0,236.0,330.4,826.0,,,,,
2026-08-19,楽園大宮店,2335,ゴーゴージャグラー3,3384,-523,13,6,0,178.1,260.3,564.0,,,,,
2026-08-19,楽園大宮店,2336,ゴーゴージャグラー3,6253,381,26,24,0,125.1,240.5,260.5,,,,,
2026-08-19,楽園大宮店,2337,ゴーゴージャグラー3,1407,-762,3,3,0,234.5,469.0,469.0,,,,,
2026-08-19,楽園大宮店,2338,ゴーゴージャグラー3,3580,-142,14,9,0,155.7,255.7,397.8,,,,,
2026-08-19,楽園大宮店,2339,ゴーゴージャグラー3,2949,-904,8,8,0,184.3,368.6,368.6,,,,,
2026-08-19,楽園大宮店,2340,ゴーゴージャグラー3,3907,-381,14,13,0,144.7,279.1,300.5,,,,,
2026-08-19,楽園大宮店,2341,ゴーゴージャグラー3,5503,-3428,9,17,0,211.7,611.4,323.7,,,,,
2026-08-19,楽園大宮店,2342,ゴーゴージャグラー3,2474,-809,8,6,0,176.7,309.2,412.3,,,,,
2026-08-19,楽園大宮店,2343,ゴーゴージャグラー3,2731,-1762,7,4,0,248.3,390.1,682.8,,,,,
2026-08-19,楽園大宮店,2344,ゴーゴージャグラー3,4808,-428,18,9,0,178.1,267.1,534.2,,,,,
2026-08-19,楽園大宮店,2345,ゴーゴージャグラー3,5387,-48,24,10,0,158.4,224.5,538.7,,,,,
2026-08-19,楽園大宮店,2346,ゴーゴージャグラー3,4887,-571,14,21,0,139.6,349.1,232.7,,,,,
2026-08-19,楽園大宮店,2347,ゴーゴージャグラー3,5097,-571,18,17,0,145.6,283.2,299.8,,,,,
2026-08-19,楽園大宮店,2348,ゴーゴージャグラー3,4740,-1142,15,15,0,158.0,316.0,316.0,,,,,
2026-08-19,楽園大宮店,2349,ゴーゴージャグラー3,2057,-476,7,7,0,146.9,293.9,293.9,,,,,
2026-08-19,楽園大宮店,2350,ゴーゴージャグラー3,5307,-1095,20,11,0,171.2,265.4,482.5,,,,,
2026-08-19,楽園大宮店,2351,ゴーゴージャグラー3,6830,-476,28,16,0,155.2,243.9,426.9,,,,,
2026-08-19,楽園大宮店,2352,ゴーゴージャグラー3,2564,-48,9,9,0,142.4,284.9,284.9,,,,,
2026-08-19,楽園大宮店,2353,ゴーゴージャグラー3,3077,-523,12,7,0,161.9,256.4,439.6,,,,,
2026-08-19,楽園大宮店,2354,ゴーゴージャグラー3,1925,-523,5,6,0,175.0,385.0,320.8,,,,,
2026-08-19,楽園大宮店,2355,ゴーゴージャグラー3,2383,-857,7,5,0,198.6,340.4,476.6,,,,,
2026-08-19,楽園大宮店,2356,ゴーゴージャグラー3,6136,1000,29,16,0,136.4,211.6,383.5,,,,,
2026-08-19,楽園大宮店,2357,ゴーゴージャグラー3,1302,-476,4,2,0,217.0,325.5,651.0,,,,,
2026-08-19,楽園大宮店,2358,ゴーゴージャグラー3,6254,-2047,17,19,0,173.7,367.9,329.2,,,,,
2026-08-19,楽園大宮店,2359,スマスロ北斗の拳,3666,-1238,30,10,0,91.7,122.2,366.6,,,,,
2026-08-19,楽園大宮店,2360,スマスロ北斗の拳,3214,-190,34,9,0,74.7,94.5,357.1,,,,,
2026-08-19,楽園大宮店,2361,スマスロ北斗の拳,4809,-1381,45,11,0,85.9,106.9,437.2,,,,,
2026-08-19,楽園大宮店,2362,スマスロ北斗の拳,2145,1286,33,4,0,58.0,65.0,536.2,,,,,
2026-08-19,楽園大宮店,2363,スマスロ北斗の拳,3464,-1333,29,7,0,96.2,119.4,494.9,,,,,
2026-08-19,楽園大宮店,2364,スマスロ北斗の拳,2403,3905,51,3,0,44.5,47.1,801.0,,,,,
2026-08-19,楽園大宮店,2365,スマスロ北斗の拳,2891,-1428,23,4,0,107.1,125.7,722.8,,,,,
2026-08-19,楽園大宮店,2366,スマスロ北斗の拳,3824,-3904,13,6,0,201.3,294.2,637.3,,,,,
2026-08-19,楽園大宮店,2367,北斗の拳 転生の章2,7022,-1523,0,17,49,106.4,,413.1,143.3,,,,
2026-08-19,楽園大宮店,2368,北斗の拳 転生の章2,5066,-809,0,11,36,107.8,,460.5,140.7,,,,
2026-08-19,楽園大宮店,2369,北斗の拳 転生の章2,2919,-952,0,6,18,121.6,,486.5,162.2,,,,
2026-08-19,楽園大宮店,2370,北斗の拳 転生の章2,4381,-3381,0,9,21,146.0,,486.8,208.6,,,,
2026-08-19,楽園大宮店,2371,北斗の拳 転生の章2,6326,5715,0,20,79,63.9,,316.3,80.1,,,,
2026-08-19,楽園大宮店,2372,北斗の拳 転生の章2,293,143,0,1,3,73.2,,293.0,97.7,,,,
2026-08-19,楽園大宮店,2373,北斗の拳 転生の章2,3275,-2714,0,6,14,163.8,,545.8,233.9,,,,
2026-08-19,楽園大宮店,2374,北斗の拳 転生の章2,5866,-2285,0,11,40,115.0,,533.3,146.7,,,,
2026-08-19,楽園大宮店,2375,北斗の拳 転生の章2,3579,-1666,0,8,19,132.6,,447.4,188.4,,,,
2026-08-19,楽園大宮店,2376,北斗の拳 転生の章2,5955,2381,0,16,59,79.4,,372.2,100.9,,,,
2026-08-19,楽園大宮店,2377,北斗の拳 転生の章2,2694,-3095,0,3,7,269.4,,898.0,384.9,,,,
2026-08-19,楽園大宮店,2378,北斗の拳 転生の章2,1205,-48,0,4,10,86.1,,301.2,120.5,,,,
2026-08-19,楽園大宮店,2379,北斗の拳 転生の章2,3709,-714,0,6,30,103.0,,618.2,123.6,,,,
2026-08-19,楽園大宮店,2380,北斗の拳 転生の章2,1544,-238,0,3,11,110.3,,514.7,140.4,,,,
2026-08-19,楽園大宮店,2381,北斗の拳 転生の章2,7144,-762,0,12,54,108.2,,595.3,132.3,,,,
2026-08-19,楽園大宮店,2382,北斗の拳 転生の章2,796,-333,0,1,5,132.7,,796.0,159.2,,,,
2026-08-19,楽園大宮店,2383,スマスロ北斗の拳,5248,-1190,46,17,0,83.3,114.1,308.7,,,,,
2026-08-19,楽園大宮店,2384,スマスロ北斗の拳,1927,143,23,4,0,71.4,83.8,481.8,,,,,
2026-08-19,楽園大宮店,2385,スマスロ北斗の拳,2656,-2095,14,4,0,147.6,189.7,664.0,,,,,
2026-08-19,楽園大宮店,2386,スマスロ北斗の拳,4859,-1714,41,13,0,90.0,118.5,373.8,,,,,
2026-08-19,楽園大宮店,2387,スマスロ北斗の拳,3255,-857,28,9,0,88.0,116.2,361.7,,,,,
2026-08-19,楽園大宮店,2388,スマスロ北斗の拳,2621,4143,57,8,0,40.3,46.0,327.6,,,,,
2026-08-19,楽園大宮店,2389,スマスロ北斗の拳,3981,-571,36,9,0,88.5,110.6,442.3,,,,,
2026-08-19,楽園大宮店,2390,スマスロ北斗の拳,5436,-4190,24,10,0,159.9,226.5,543.6,,,,,
2026-08-19,楽園大宮店,2391,マギアレコード 魔法少女まどか☆マギカ外伝,3994,-1857,13,0,5,221.9,307.2,,798.8,,,,
2026-08-19,楽園大宮店,2392,マギアレコード 魔法少女まどか☆マギカ外伝,1173,-476,2,0,2,293.2,586.5,,586.5,,,,
2026-08-19,楽園大宮店,2393,マギアレコード 魔法少女まどか☆マギカ外伝,369,-333,1,0,1,184.5,369.0,,369.0,,,,
2026-08-19,楽園大宮店,2394,マギアレコード 魔法少女まどか☆マギカ外伝,1592,-904,3,0,3,265.3,530.7,,530.7,,,,
2026-08-19,楽園大宮店,2395,マギアレコード 魔法少女まどか☆マギカ外伝,2635,1143,8,0,4,219.6,329.4,,658.8,,,,
