台番号	G数	差枚	BB	RB
スマスロ サンダーV
2001	7,148	+143	23	21
2002	5,826	+2,143	26	13
2003	7,520	-95	30	11
2004	7,188	-952	21	17
2005	7,287	+619	27	20
2006	6,871	+238	27	13
2007	6,834	+1,429	24	31
2008	7,570	+1,238	28	20
SHAKE BONUS TRIGGER
2009	6,408	-1,190	15	13
2010	6,632	+2,572	23	12
2011	6,991	+238	19	18
2012	7,618	+3,572	30	20
2013	7,566	+3,572	28	28
ケロット5
2014	7,375	+2,191	40	27
2015	6,354	-476	25	22
2016	7,400	-1,762	25	22
2710	2,370	-1,238	7	4
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.
2017	6,608	-428	22	14
2018	6,946	-666	22	16
2019	8,084	+2,858	35	18
2020	8,049	+2,191	32	26
2021	7,850	+572	27	24
スマスロ ハナビ
2028	7,179	-714	21	20
2029	6,163	-714	19	13
2030	7,054	+477	29	14
2031	6,680	+1,810	31	12
2032	6,214	+1,143	25	15
2033	4,593	-809	13	12
2034	6,271	-714	20	13
2035	5,135	+286	18	8
バーサスリヴァイズ
2036	7,574	+619	26	22
2037	7,490	-1,142	19	17
2038	5,515	-2,142	13	11
2039	8,265	-2,142	20	20
ジャグラーガールズ
2040	6,658	-571	24	18
2041	7,769	+1,667	36	25
2042	7,755	+2,334	34	36
2043	8,110	+2,905	38	30
2044	6,878	-142	26	22
2045	4,178	+429	18	15
2046	6,794	-1,714	18	21
2047	5,160	-285	20	14
2048	7,240	-714	24	24
2049	8,093	+6,048	52	32
2050	7,554	+810	34	21
ファンキージャグラー2
2051	7,985	+2,334	43	15
2052	5,452	-476	20	12
2053	6,580	+715	27	20
2054	5,359	-1,142	16	18
2055	7,146	-1,047	26	17
2056	7,553	-1,095	28	18
2057	5,928	+524	27	10
2058	7,080	-1,619	23	14
2059	6,429	-2,285	19	15
2060	7,013	-1,381	23	15
2061	6,648	+1,096	28	22
2062	7,514	-428	26	26
2063	7,243	-2,381	17	23
2064	6,908	+858	30	20
2065	6,089	-1,381	21	10
2066	7,920	+334	33	15
2067	6,076	-809	21	12
2068	5,779	-238	22	13
2069	5,999	-762	20	18
2070	7,251	+2,143	33	27
2071	0	+0	0	0
2072	7,292	+1,191	36	14
2073	7,217	+1,096	30	25
2074	7,459	+96	28	24
2075	7,007	+381	29	18
2076	7,369	-238	25	26
2077	6,581	+2,429	38	11
2078	6,258	-1,095	21	11
2079	6,744	+381	28	12
2080	7,909	+619	30	27
2081	6,020	+1,429	27	20
2082	7,030	+1,858	29	27
2083	6,878	+429	28	20
ネオアイムジャグラーEX
2084	7,482	-1,571	20	29
2085	5,655	+191	22	16
2086	8,394	-571	24	39
2087	6,107	-1,047	20	14
2088	6,860	+762	29	15
2089	6,256	+334	24	20
2090	6,912	-381	25	15
2091	7,362	-571	26	19
2092	7,093	+286	30	16
2093	7,785	+2,429	38	24
2094	5,756	-381	22	14
2095	7,577	+1,953	33	30
2096	6,617	+762	25	22
2097	7,431	+2,286	34	27
2098	6,383	+1,238	30	13
2191	6,997	+2,572	35	22
2192	5,937	+2,286	28	21
2193	7,705	+858	33	20
2194	7,009	-714	22	22
2195	4,518	+858	21	8
2196	6,579	+334	25	21
2197	8,040	+1,191	34	25
2198	5,154	-571	17	13
2199	8,456	+715	33	27
2200	6,699	+477	25	23
2201	8,336	-95	29	32
2202	7,210	-95	26	24
2203	5,502	-1,809	14	18
2204	6,196	+524	26	19
2205	6,988	+96	27	17
2206	5,871	-285	22	14
2207	7,010	-857	22	24
2208	7,724	+905	29	28
2209	6,120	+334	25	16
2210	7,448	+953	32	18
2211	7,699	-2,047	22	18
2212	6,815	+1,524	27	28
2213	5,905	-381	21	15
2214	7,032	+524	32	14
2215	8,372	+2,286	39	23
2216	7,842	+858	31	24
2217	7,220	+1,286	33	19
2218	6,256	+334	27	15
2219	6,823	+2,762	36	17
2220	5,889	-285	19	21
2221	7,384	+1,191	28	34
2222	7,685	+2,429	35	33
2223	7,204	+381	27	23
2224	6,670	-1,095	24	14
2225	6,782	-904	24	14
2226	6,810	+1,715	29	26
2227	5,470	+1,238	25	14
2228	6,526	+572	24	21
2229	7,550	+381	29	27
2230	6,572	+667	27	21
2231	6,415	-476	21	20
2232	7,470	+905	29	25
2233	7,105	-1,762	18	22
2234	7,749	+905	28	32
2235	7,218	-1,142	24	20
2236	6,485	-1,904	16	21
2237	7,287	-48	28	17
2238	6,809	-1,809	18	20
2239	7,309	+2,286	37	22
2240	6,831	-428	20	33
2241	7,251	-1,904	19	22
2242	6,178	-1,142	19	17
2243	5,605	-142	20	16
2244	5,185	+667	23	13
2245	5,932	-1,142	22	11
2246	7,862	-95	26	32
2247	8,202	+238	34	22
2248	7,507	-1,142	24	18
ウルトラミラクルジャグラー
2099	6,726	+667	27	21
2100	7,003	-238	27	19
2101	6,320	-666	21	22
2102	7,052	+191	33	10
2103	8,680	-904	30	27
2104	6,947	+286	26	21
2105	7,001	-904	26	17
ミリオンゴッド‐神々の軌跡‐
2106	8,845	-2,762	0	0
2107	9,043	-2,095	0	0
2108	5,241	-1,714	13	0
2109	6,729	-2,428	0	0
2110	7,675	-333	0	0
