台番号	G数	差枚	BB	RB
スマスロ サンダーV
2157	6,616	-2,523	0	15
2158	7,056	-4,952	0	17
2159	4,580	-142	0	9
2160	7,464	+1,905	0	19
ストリートファイター6
2249	6,640	-5,095	0	19
2250	3,694	-2,428	0	8
2251	4,948	-1,952	0	13
2252	5,889	-2,762	0	17
2253	6,282	-5,000	0	16
2280	4,950	-523	0	11
2281	4,645	+762	0	10
2282	5,038	-285	0	9
2283	5,778	-2,381	0	15
2284	6,452	-4,333	0	19
ソードアート・オンラインII
2254	8,854	-3,428	0	0
2255	6,225	-5,095	0	0
2256	6,766	-1,714	0	0
2257	9,455	+9,096	0	0
2258	8,895	+3,953	0	0
2259	7,862	+15,477	0	0
2260	9,109	-1,857	0	0
2261	8,716	-5,095	0	0
2262	9,620	-1,142	0	0
2263	8,505	+3,953	0	0
2264	9,280	-5,095	0	0
2265	8,078	-5,095	0	0
2266	9,097	-4,523	0	0
2267	6,600	-5,095	0	0
2268	7,647	-5,095	0	0
2269	6,574	-5,095	0	0
2270	7,423	-3,952	0	0
2271	8,479	+7,858	0	0
2272	9,301	-952	0	0
2273	6,369	-3,571	0	0
2274	8,529	-523	0	0
2275	7,563	-809	0	0
2276	7,868	-5,095	0	0
2277	6,878	+3,048	0	0
2278	8,124	-762	0	0
2279	8,081	-1,809	0	0
モンキーターンV
2285	6,959	+1,286	0	15
2286	3,333	-3,095	0	7
2287	2,154	-1,666	0	4
2288	6,846	+6,858	0	10
2289	3,811	-190	0	8
2290	789	-95	0	1
2291	8,090	-1,095	0	21
2292	3,694	-571	0	9
2293	9,718	-381	0	21
2294	4,701	-1,476	0	10
2295	2,469	-2,904	0	5
2296	5,400	-4,142	0	10
2297	8,121	+858	0	17
2298	1,041	-952	0	2
2299	8,650	-2,238	0	25
2795	2,787	-1,476	0	4
2796	4,107	+1,096	0	12
2797	1,174	-666	0	2
2798	5,850	-1,476	0	14
2799	4,952	+1,191	0	10
2800	2,359	-1,952	0	3
2801	8,366	+3,191	0	18
2802	1,125	-1,142	0	2
2803	5,431	-2,476	0	11
2804	5,874	+1,000	0	17
2805	2,006	-619	0	4
2806	6,512	-3,047	0	17
2807	3,438	-1,047	0	7
2808	1,619	-904	0	5
2809	1,977	-571	0	6
2810	8,699	-1,904	0	18
2811	2,452	-2,476	0	4
2812	0	+0	0	0
マイジャグラーV
2300	7,834	-1,428	24	21
2301	5,249	-48	22	9
2302	7,480	+381	34	19
2303	5,261	-142	21	9
2304	4,574	-714	17	8
2305	6,625	-333	23	23
2306	6,622	-1,428	20	17
2307	6,646	+2,286	32	26
2308	6,267	-428	24	14
2309	7,106	-381	26	21
2310	5,586	-238	21	15
2311	5,278	+572	22	11
2312	4,821	-1,857	12	14
2313	7,338	-1,809	21	23
2314	0	+0	0	0
2315	6,028	-2,381	13	17
2316	7,397	-95	28	22
2317	6,291	-1,142	21	15
2318	7,980	+1,524	36	28
2319	3,325	-238	13	7
2320	4,604	-904	16	10
2321	6,047	-142	23	15
2322	5,477	+334	26	8
2323	6,115	-1,381	20	13
2324	5,236	+715	25	10
2325	6,334	-523	24	13
2326	6,225	-1,381	22	13
2327	7,116	-1,904	19	22
2328	6,244	-1,762	18	13
2329	5,644	-48	23	13
2465	6,779	+477	26	22
2466	6,303	+477	26	17
2467	6,963	+524	27	22
2468	6,531	+334	23	27
2469	7,406	+477	29	22
2470	8,011	-952	27	23
2471	6,640	-476	28	12
2472	5,486	-1,666	17	13
2473	6,932	-1,666	19	19
2474	5,186	-381	18	13
2475	4,701	-1,904	12	5
2476	5,794	-1,952	15	18
2477	5,536	-1,857	16	10
2478	6,742	-1,428	19	19
2479	6,632	-476	24	18
2480	7,180	-1,904	22	14
2481	6,698	-1,476	21	22
2482	6,988	+572	30	18
2483	6,353	-762	24	10
2484	5,662	-1,428	17	13
2485	4,939	-381	19	9
2486	7,665	+810	32	24
2487	5,689	-666	17	22
2488	0	+0	0	0
2489	6,676	-428	26	14
2490	6,991	+953	30	18
2491	7,572	-571	28	14
2492	8,526	+1,238	34	34
2493	5,999	-1,762	19	10
2494	0	+0	0	0
2495	6,296	-952	20	16
ゴーゴージャグラー3
2330	8,733	+619	34	36
2331	3,098	-952	8	8
2332	5,780	-95	23	15
2333	3,970	-333	15	11
2334	6,123	-95	25	16
2335	5,773	+572	24	19
2336	2,537	-285	10	5
2337	3,144	+238	15	6
2338	3,065	-1,000	8	7
2339	3,407	+572	17	8
2340	5,733	-1,095	20	17
2341	4,746	+191	19	13
2342	1,928	-1,047	5	2
2343	4,757	-904	16	15
2344	3,222	-1,238	8	8
2345	5,632	-619	22	16
2346	7,375	-142	30	24
2347	6,603	-48	24	29
2348	5,481	-142	23	11
2349	2,918	-1,571	6	6
2350	5,076	-571	19	14
