台番号	G数	差枚	BB	RB
スマスロ サンダーV
2888	2,390	+619	19	7
2889	2,155	-1,809	9	1
2890	1,413	-1,666	3	4
2891	3,222	-3,428	9	4
2892	785	+238	6	2
2893	1,100	+15,477	69	22
2894	1,889	-285	12	4
2895	4,116	-5,095	8	7
2896	1,310	+238	8	7
2897	2,792	+4,572	34	11
2898	0	+0	0	0
2899	1,220	+334	7	6
2900	1,934	-857	11	3
2901	2,037	-1,666	7	4
キングハナハナ-30
2902	4,132	-2,190	8	6
2903	5,514	+858	23	10
2904	1,566	-476	4	3
2905	3,795	-238	16	4
2906	3,490	-1,333	7	7
2907	1,344	-428	4	2
2908	5,018	-95	21	9
2909	4,964	+1,619	23	13
2910	775	-476	2	0
2911	4,190	-285	14	12
2912	2,596	-1,190	5	6
2913	0	+0	0	0
うみねこのなく頃に2
3001	5,801	+572	15	17
3002	8,586	-48	23	27
3003	6,391	-1,571	15	12
不二子BT
3004	2,958	+858	28	5
3005	2,895	-1,523	8	12
3006	5,060	+619	33	23
A‐SLOT+ 異世界かるてっと
3007	3,605	-285	19	14
3008	4,655	+1,238	33	19
3009	3,096	+1,381	22	17
3010	3,617	+667	21	19
アレックス ブライト
3011	2,986	-857	8	2
3012	5,843	+572	20	15
3013	2,794	+858	12	5
3014	1,725	-1,619	2	2
ヱヴァンゲリヲン ～約束の扉～
3015	4,774	-666	13	10
3016	7,174	+286	23	12
鉄拳6
3017	3,163	-2,190	16	10
3018	546	-523	2	1
3019	563	+905	5	3
3020	1,280	-285	7	4
3021	1,752	+429	12	10
3022	1,109	-1,285	4	2
スーパーブラックジャック
3023	2,267	-2,095	0	6
3024	3,452	+1,048	0	2
3025	1,774	+2,286	0	1
3026	3,639	-1,333	0	4
3027	781	-952	0	2
3028	2,410	-904	0	3
3029	2,656	-333	0	6
3030	8,966	-1,666	0	10
戦国乙女4 戦乱に閃く炯眼の軍師
3038	3,501	-1,333	11	0
3039	2,264	-809	10	0
3040	886	-333	5	0
3041	1,484	+143	8	0
3042	1,373	-1,333	7	0
3043	1,662	+572	15	0
3044	2,087	-2,047	5	0
3045	4,224	+2,238	17	0
3046	133	-238	0	0
3047	1,999	+286	10	0
3048	743	-1,047	1	0
戦国乙女5 業火を穿つ宿焔の双刃
3049	6,187	-2,476	0	7
3050	2,976	+1,572	0	4
3051	5,669	-904	0	11
3052	8,205	+3,334	0	22
3053	5,377	-3,000	0	7
3054	5,205	+1,000	0	14
3055	5,514	-1,523	0	14
3056	5,533	+2,000	0	10
3057	7,320	-1,571	0	14
3058	4,178	-2,285	0	7
3059	5,934	-523	0	14
3060	7,256	+3,334	0	24
3061	4,200	-1,142	0	9
3062	6,524	+3,143	0	22
3063	7,038	-2,047	0	13
3064	7,722	-381	0	19
3065	4,293	-1,285	0	8
3066	7,528	-1,047	0	12
3067	5,416	-2,809	0	9
3068	4,744	-1,000	0	9
3069	3,661	-3,666	0	2
3070	6,394	+4,238	0	18
3071	5,087	-1,714	0	10
3072	5,952	-571	0	12
3073	4,819	-4,190	0	4
3074	4,909	-1,952	0	9
3075	7,117	-95	0	10
3076	5,372	+4,810	0	16
3077	6,845	+10,000	0	30
3078	2,437	-2,095	0	3
3079	8,457	+3,953	0	24
甲鉄城のカバネリ 海門(うなと)決戦
3080	4,077	-1,571	0	9
3081	4,817	+2,096	0	13
3082	6,832	+4,238	0	20
3083	872	-95	0	4
3084	2,210	+1,000	0	8
3085	1,828	-1,428	0	4
3086	2,792	+381	0	11
3087	2,183	-1,285	0	4
3088	2,759	-2,238	0	9
3089	3,310	-1,619	0	9
3090	5,732	-95	0	12
3091	2,368	-1,238	0	7
3092	6,180	+1,905	0	12
3093	4,371	-1,285	0	11
3094	2,029	-1,476	0	7
3095	2,786	-1,095	0	7
3096	7,130	-809	0	22
3097	4,863	-2,238	0	21
3098	3,237	+2,619	0	6
3099	1,375	-571	0	4
3100	7,609	+2,381	0	16
3101	3,615	-1,619	0	9
3102	3,766	-1,762	0	11
3103	821	+143	0	2
3104	8,053	+3,334	0	19
3105	3,069	-48	0	10
3106	3,245	-3,238	0	6
3107	5,791	-1,904	0	15
3108	1,522	-666	0	8
3109	1,984	-1,000	0	6
3110	2,297	-1,142	0	8
3111	6,205	-666	0	16
3112	2,123	+1,762	0	5
3113	6,023	-428	0	17
3131	4,635	-2,381	0	12
3132	3,299	-1,714	0	7
3133	5,638	+191	0	20
3134	4,032	+1,000	0	10
3135	1,680	+191	0	6
3136	1,790	-571	0	5
3137	4,554	-904	0	12
3138	4,253	-2,523	0	14
3139	7,322	+5,048	0	15
3140	1,957	+572	0	5
3141	4,807	+2,477	0	6
3142	3,012	-190	0	8
3143	5,051	-2,142	0	13
3144	7,921	+6,572	0	16
化物語
3114	2,688	-1,714	0	6
3115	4,326	-2,809	0	9
3116	650	-857	0	1
3117	1,751	-1,809	0	4
3118	1,631	-1,666	0	4
3119	532	-571	0	1
3120	4,886	-619	0	9
3121	1,964	-333	0	6
3122	2,460	+477	0	5
3123	2,856	-571	0	8
3124	2,250	+762	0	3
3125	529	-571	0	1
3126	4,045	-381	0	10
3127	4,598	-3,428	0	12
3128	1,832	-1,047	0	6
3129	2,453	+905	0	5
3130	4,232	-1,142	0	6
いざ！番長
3145	5,041	+8,096	0	20
3146	1,057	+238	0	1
3147	9,471	+4,143	0	27
3148	2,502	+1,286	0	13
3149	2,801	+96	0	7
3150	3,005	-48	0	8
3151	1,303	-1,000	0	3
3152	950	-666	0	1
3153	5,605	-142	0	13
3154	982	-1,285	0	1
3155	2,014	-1,666	0	1
ゴッドイーター リザレクション
3156	6,191	-1,619	0	6
3157	5,446	-1,095	0	11
3158	4,450	+2,096	0	6
3159	3,732	-1,904	0	6
3160	5,479	+286	0	9
ドッチ
3161	2,348	+524	21	8
3162	2,275	-1,714	11	5
3163	3,278	-1,666	13	15
3164	2,653	-2,238	9	9
主役は銭形5
3165	1,816	-333	0	6
3166	1,033	-1,190	0	1
3167	3,366	+10,572	0	4
3168	4,921	+3,048	0	8
モンスターハンターライズ
3169	8,155	+3,619	0	19
3170	3,950	-2,000	0	10
3171	4,602	-2,666	0	7
3172	2,604	-2,238	0	4
3173	6,079	+10,334	0	8
3174	5,032	-1,619	0	13
3175	6,814	+3,238	0	15
スーパーリオエース2
3176	1,455	-666	0	5
3177	2,106	-1,762	0	3
3178	1,966	+2,429	0	11
3179	1,569	+2,477	0	13
3180	959	-523	0	2
3181	2,520	+2,477	0	19
3182	1,180	-952	0	2
3183	4,693	+7,477	0	39
3184	501	-476	0	1
3185	1,903	-2,095	0	4
3186	1,254	-762	0	2
虚構推理
3190	3,936	-1,285	0	6
3191	4,808	+858	0	8
3192	6,783	+7,905	0	11
ToLOVEるダークネス
3193	2,491	-2,381	12	0
3194	3,897	+429	21	0
3195	2,475	-2,238	10	0
ワールドダイスター
3196	8,985	-3,666	0	53
3197	8,339	+3,096	0	50
3198	9,021	-1,285	0	56
3199	8,766	-5,095	0	44
3200	8,141	-4,238	0	47
3201	7,358	-2,476	0	49
アズールレーン THE ANIMATION
3202	6,148	+1,524	0	24
3203	0	+0	0	0
3204	5,042	+2,477	0	16
ヨルムンガンド
3205	1,071	-809	0	1
3206	353	-238	0	0
3207	952	-1,000	0	0
ラブ嬢3～Wご指名はいかがですか?～
3208	3,807	-238	0	5
3209	3,601	-571	0	8
邪神ちゃんドロップキック
3210	8,683	-857	0	13
3211	5,949	-3,619	0	10
3212	8,962	-3,762	0	12
3213	7,802	-952	0	11
3214	8,167	-4,381	0	7
3215	8,293	-3,762	0	13
3216	8,206	+5,619	0	19
3217	7,269	-2,523	0	10
ToLOVEるダークネス TRANCE ver.8.7
3218	5,819	-2,714	41	0
3219	5,754	+4,143	47	0
3220	4,393	-3,095	23	0
3221	2,605	+5,048	25	0
3222	4,253	-1,047	26	0
バイオハザード RE:3
3223	1,369	-1,523	0	9
3224	1,837	+429	0	16
3225	696	-428	0	11
3226	1,318	-714	0	14
3227	883	+524	0	10
3228	930	-1,000	0	7
3229	5,299	+2,762	0	74
3230	782	-571	0	8
3231	1,713	-1,904	0	14
とんでもスキルで異世界放浪メシ
3232	6,918	-5,095	0	11
3233	5,323	-4,666	0	8
3234	7,443	-1,285	0	13
3235	6,728	-4,476	0	16
3236	8,076	-714	0	14
攻殻機動隊
3237	3,131	+429	0	8
3238	6,139	+2,191	0	20
3239	894	-333	0	3
3240	2,899	-1,047	0	8
3241	3,512	-1,666	0	7
3242	3,980	-476	0	13
3243	1,840	-666	0	6
3244	5,404	+1,286	0	15
