台番号	G数	差枚	BB	RB
2333	4,045	+143	17	12
2334	1,652	-523	5	2
2335	3,384	-523	13	6
2336	6,253	+381	26	24
2337	1,407	-762	3	3
2338	3,580	-142	14	9
2339	2,949	-904	8	8
2340	3,907	-381	14	13
2341	5,503	-3,428	9	17
2342	2,474	-809	8	6
2343	2,731	-1,762	7	4
2344	4,808	-428	18	9
2345	5,387	-48	24	10
2346	4,887	-571	14	21
2347	5,097	-571	18	17
2348	4,740	-1,142	15	15
2349	2,057	-476	7	7
2350	5,307	-1,095	20	11
2351	6,830	-476	28	16
2352	2,564	-48	9	9
2353	3,077	-523	12	7
2354	1,925	-523	5	6
2355	2,383	-857	7	5
2356	6,136	+1,000	29	16
2357	1,302	-476	4	2
2358	6,254	-2,047	17	19
2496	7,583	+1,048	36	17
2497	3,091	+619	15	9
2498	2,444	-1,095	7	4
2499	2,772	-809	9	8
2500	2,521	-1,571	4	7
2501	2,470	-428	8	6
2502	4,776	-571	16	14
2503	2,019	-476	8	1
2504	1,523	-1,047	3	0
2505	3,884	-1,285	8	16
2506	5,632	+1,667	32	13
2507	5,932	+2,619	32	22
2508	6,116	-762	21	21
2509	5,472	+1,286	23	27
2510	6,076	-381	27	11
2511	6,287	-1,095	24	11
2512	2,290	-1,333	5	5
2513	3,844	-666	14	12
2514	5,581	-476	22	15
2515	1,474	-190	6	1
2516	3,795	-762	13	11
2517	3,468	-1,619	8	9
2518	5,327	+1,524	28	13
2519	4,382	-619	17	8
スマスロ北斗の拳
2359	3,666	-1,238	30	10
2360	3,214	-190	34	9
2361	4,809	-1,381	45	11
2362	2,145	+1,286	33	4
2363	3,464	-1,333	29	7
2364	2,403	+3,905	51	3
2365	2,891	-1,428	23	4
2366	3,824	-3,904	13	6
2383	5,248	-1,190	46	17
2384	1,927	+143	23	4
2385	2,656	-2,095	14	4
2386	4,859	-1,714	41	13
2387	3,255	-857	28	9
2388	2,621	+4,143	57	8
2389	3,981	-571	36	9
2390	5,436	-4,190	24	10
北斗の拳 転生の章2
2367	7,022	-1,523	0	17
2368	5,066	-809	0	11
2369	2,919	-952	0	6
2370	4,381	-3,381	0	9
2371	6,326	+5,715	0	20
2372	293	+143	0	1
2373	3,275	-2,714	0	6
2374	5,866	-2,285	0	11
2375	3,579	-1,666	0	8
2376	5,955	+2,381	0	16
2377	2,694	-3,095	0	3
2378	1,205	-48	0	4
2379	3,709	-714	0	6
2380	1,544	-238	0	3
2381	7,144	-762	0	12
2382	796	-333	0	1
2520	1,780	-1,333	12	5
2521	1,595	-1,047	11	4
2522	237	+143	3	1
2523	2,692	+2,191	39	7
2524	1,986	+286	28	7
2525	1,072	-95	15	3
2526	816	+191	9	4
2527	3,174	+143	35	8
2528	1,037	-238	9	3
2529	1,174	-1,285	4	3
2530	2,702	+3,572	54	8
2531	2,513	-285	30	8
2532	3,502	+334	40	10
2533	3,143	-2,809	15	7
2534	2,232	+3,286	43	6
2535	5,877	-142	69	19
2536	4,167	+10,191	102	17
2537	845	+143	10	2
2538	4,609	-1,714	38	14
2539	3,702	-1,142	47	6
2540	223	+143	3	1
2541	4,861	-3,142	32	14
2542	1,381	-809	9	4
2543	1,258	-238	13	3
2544	3,911	+1,238	51	14
2545	3,493	+5,286	72	17
2546	328	+1,286	12	1
2547	3,704	-2,714	22	8
マギアレコード 魔法少女まどか☆マギカ外伝
2391	3,994	-1,857	13	0
2392	1,173	-476	2	0
2393	369	-333	1	0
2394	1,592	-904	3	0
2395	2,635	+1,143	8	0
2396	388	-476	1	0
2397	5,020	-2,333	17	0
2398	2,791	-2,476	10	0
2399	792	-571	3	0
2400	2,820	-2,523	10	0
2401	1,406	+572	3	0
2402	1,214	-1,095	4	0
2403	4,585	-2,762	11	0
2404	1,456	+143	5	0
2405	9,062	-3,476	24	0
2406	6,202	+3,238	20	0
2407	5,547	+1,762	16	0
2408	1,010	+286	1	0
2409	4,278	-1,857	14	0
2410	2,219	-952	4	0
2411	729	-95	3	0
2412	1,998	-190	6	0
2413	921	-476	3	0
2414	2,368	+334	5	0
2415	1,004	-285	4	0
2416	1,378	+286	3	0
2417	2,469	+810	9	0
2418	6,628	-1,523	20	0
かぐや様は告らせたい
2419	3,290	-619	15	2
2420	779	-714	2	0
2421	3,626	+5,191	37	3
2422	2,317	-1,095	9	4
2423	848	-762	2	1
2424	2,147	+143	11	5
2425	4,928	-2,381	17	9
2426	2,360	+4,810	21	3
2427	2,432	-2,904	3	4
2428	2,047	-142	10	3
2429	4,352	+2,477	29	6
2430	1,977	+667	10	8
2431	1,042	-809	3	0
2432	2,096	-95	8	4
2433	4,137	-4,142	7	8
2434	3,239	-1,571	13	2
ハッピージャグラーVIII
2435	6,442	+1,572	29	20
2436	735	-714	1	0
2437	1,934	-523	7	3
2438	2,636	-619	9	3
2439	4,484	-1,047	14	10
2440	4,779	-619	16	14
2441	4,835	-2,476	9	15
2442	2,400	-428	7	8
2443	4,168	-1,523	11	7
2444	1,879	-809	5	3
2445	1,524	-476	5	3
2446	1,634	-523	5	3
2447	3,880	-142	16	8
2448	5,238	-1,047	18	12
2449	1,047	-428	2	2
2450	4,190	-619	13	12
2451	6,081	-428	24	11
ミスタージャグラー
2452	4,008	-714	14	9
2453	4,769	-285	18	12
2454	4,231	-1,000	16	8
2455	4,908	-666	16	14
2456	4,026	-238	17	5
2457	2,232	-1,142	4	3
2458	7,747	+905	34	25
2459	6,145	-190	24	18
2460	1,972	-285	8	0
2461	4,025	-238	16	7
2462	1,771	-809	5	2
2463	5,045	+1,143	25	9
2464	4,943	+477	21	15
スマスロ炎炎ノ消防隊2
2548	4,373	+96	0	10
2549	2,002	-381	0	3
2550	2,312	-1,142	0	3
2551	3,101	-2,333	0	7
2552	1,602	-1,190	0	5
2553	2,535	+858	0	3
2554	1,300	+238	0	2
2555	584	-95	0	2
2556	3,816	-1,571	0	9
2557	582	-428	0	1
2558	1,045	+477	0	2
2559	1,560	-1,142	0	3
2560	899	+191	0	1
2561	2,903	-48	0	6
2562	2,522	-1,476	0	5
2563	2,753	-381	0	10
2564	4,210	+2,667	0	8
2565	1,890	-809	0	4
2566	2,170	-619	0	6
2567	1,795	-1,381	0	2
2568	1,216	-285	0	4
2569	3,115	-95	0	7
2570	1,501	-1,000	0	4
2571	2,797	-1,047	0	5
からくりサーカス2
2572	5,948	-3,619	0	15
2573	2,111	+1,286	0	5
2574	2,184	+953	0	5
2575	1,233	+1,286	0	4
2576	3,620	+2,143	0	10
2577	2,436	-762	0	5
2578	4,796	+2,191	0	10
2579	1,325	-1,476	0	4
2580	3,740	-4,000	0	10
2581	336	-285	0	1
2582	2,030	+286	0	3
2583	2,797	-3,238	0	4
2584	2,468	-1,047	0	6
2585	2,033	-1,476	0	6
2586	5,376	+5,334	0	16
2587	1,993	-1,762	0	5
2588	6,235	+8,524	0	20
2589	1,439	-619	0	5
2590	2,874	+4,000	0	10
2591	412	-190	0	2
2592	4,065	-2,523	0	10
2593	9,236	+2,429	0	24
2594	349	-333	0	2
2595	1,603	-1,000	0	5
2596	4,539	-714	0	13
2597	3,470	-1,619	0	9
2813	4,884	-523	0	14
2814	469	-381	0	1
2815	6,910	+3,238	0	25
2816	3,741	-95	0	8
2817	2,609	-857	0	5
2818	6,954	+2,619	0	20
2819	1,747	+1,048	0	5
2820	2,241	-2,000	0	5
とある魔術の禁書目録2
2598	7,666	-3,714	0	26
2599	8,366	+3,143	0	23
2600	8,849	-428	0	19
2601	8,608	-3,762	0	28
2602	7,185	+3,953	0	14
2603	8,950	+572	0	36
2604	6,707	-4,333	0	18
2605	8,292	+3,953	0	21
革命機ヴァルヴレイヴ2
2606	5,118	-3,190	31	4
2607	3,913	-428	19	2
2608	2,694	+4,762	60	1
2609	2,565	-2,809	3	2
2610	3,190	-2,285	12	1
2611	4,655	+10,953	100	5
2612	982	-809	1	2
2613	5,746	-1,047	48	1
2614	2,432	+905	23	2
2615	4,234	-95	33	5
2616	3,932	+8,048	84	2
2617	2,483	-1,904	8	1
2618	8,775	-1,523	70	10
2619	3,430	-1,476	26	4
2620	3,836	-1,619	23	2
2621	8,214	-4,000	47	6
GI優駿倶楽部黄金
2622	4,704	+810	0	8
ダーリン・イン・ザ・フランキス
2623	7,585	-3,714	0	26
バンドリ！
2625	3,201	-3,238	0	6
HEY！エリートサラリーマン鏡
2626	4,124	-142	0	5
頭文字D 2nd
2627	2,319	+2,143	0	3
ゾンビランドサガ
2628	1,833	-190	20	0
シャーマンキング
2629	7,656	+286	21	0
スマスロ真・北斗無双
2630	3,939	-952	28	0
2715	3,269	-1,714	18	0
プリズムナナ
2631	932	-666	3	4
ガールズ&パンツァー 最終章
2632	1,494	-714	16	11
戦国コレクション6
2633	7,430	-904	0	14
3031	4,992	-4,190	0	7
3032	6,067	-3,047	0	13
3033	8,120	+1,096	0	14
3034	7,678	+3,238	0	13
3035	7,566	-142	0	12
3036	5,370	-1,762	0	9
3037	8,858	-3,238	0	14
七つの魔剣が支配する
2634	640	-333	0	1
ひぐらしのなく頃に 業
2635	6,363	+6,477	32	10
マジカルハロウィン8
2636	2,421	+1,238	15	0
BIRDIE WING ‐Golf Girls' Story‐
2637	1,011	-1,190	0	5
とある科学の超電磁砲2
2638	2,972	+1,000	0	5
ビッグドリーム THE GOLDEN PUSHER
2639	3,927	-3,952	0	7
吉宗
2640	3,644	-2,619	4	1
2641	2,356	-3,428	0	3
2642	1,518	-714	2	1
2643	4,971	+2,429	13	8
2644	2,105	-2,285	1	2
バイオハザード RE:2
2645	1,965	-1,285	7	0
頭文字D
2646	1,189	-333	4	6
ハイパーラッシュ
2647	2,494	-95	9	6
コードギアス反逆のルルーシュ3 C.C.&Kallen ver.
2648	1,785	-904	4	2
2649	1,208	-1,428	1	0
2650	2,898	-1,000	6	5
この素晴らしい世界に祝福を！
2651	0	+0	0	0
2652	9,843	+3,048	0	25
2653	6,990	+191	0	19
ダンジョンに出会いを求めるのは間違っているだろうか2
2654	1,588	-238	8	0
2655	1,394	-1,333	5	0
2656	2,003	-1,095	9	0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART
2657	3,149	-1,190	13	0
2658	3,303	+1,191	24	0
2659	2,323	-1,476	6	0
2660	2,891	+143	13	0
2661	1,066	-285	2	0
2662	7,084	+1,334	48	0
マクロスデルタ
2663	6,856	+191	0	14
新鬼武者2
2664	3,857	+2,429	0	18
ニューパルサーSP4 with 太鼓の達人
2665	2,884	-1,428	6	8
盾の勇者の成り上がり
2666	3,525	-857	0	11
押忍!番長ZERO
2667	3,319	-619	0	6
甲鉄城のカバネリ
2668	4,575	+1,524	12	0
ハードボイルド
2669	2,622	-857	6	6
2670	0	+0	0	0
2671	2,803	+762	10	4
クランキークレスト
2672	5,714	+1,048	22	20
2673	2,886	+334	12	4
2674	3,700	-762	13	4
SLOTドルアーガの塔
2675	4,495	+429	16	12
2676	3,274	-2,095	6	7
ディスクアップ ULTRAREMIX
2695	8,014	-381	26	16
2696	8,226	-3,619	19	10
痛いのは嫌なので防御力に極振りしたいと思います。
2697	2,973	+1,143	17	15
2698	2,903	+1,143	19	11
2699	3,319	-1,381	11	12
東京リベンジャーズ
2700	2,862	-95	0	4
2701	4,493	-1,047	0	6
2702	3,598	-2,714	0	3
無職転生 ～異世界行ったら本気だす～
2703	4,085	+4,000	0	12
2704	1,783	-1,238	0	12
2705	4,379	-48	0	13
ゴジラ対エヴァンゲリオン
2706	6,340	+1,619	22	0
回胴黙示録カイジ 狂宴
2707	4,842	-2,285	22	9
戦姫絶唱シンフォギア 正義の歌
2708	4,205	-3,619	0	6
GALFY
2709	4,581	+2,191	16	21
少女☆歌劇 レヴュースタァライト ‐The SLOT‐
2711	2,978	-714	13	0
乃木坂46
2712	0	+0	0	0
コードギアス 反逆のルルーシュ/復活のルルーシュ
2713	7,421	+1,381	0	10
新鬼武者3
2714	3,337	-3,047	0	2
タクトオーパス デスティニー
2716	1,862	-1,381	0	8
3187	1,930	-1,142	0	6
3188	2,178	-476	0	10
3189	4,431	-3,285	0	14
喰霊‐零‐Re
2717	7,950	-1,809	34	0
2718	7,484	+4,286	39	0
2719	7,143	-1,809	26	0
2720	8,209	+3,048	42	0
やじきた道中記参る！
2721	4,375	-1,333	0	13
2722	6,747	-1,238	0	18
2723	6,607	-285	0	20
2724	5,719	+381	0	15
2725	5,039	-3,285	0	18
2726	8,034	+1,477	0	24
2727	5,569	-2,762	0	17
2728	8,730	+12,238	0	21
2729	7,440	-2,333	0	25
2730	6,812	-48	0	19
2731	5,371	-1,714	0	17
2732	8,208	-1,333	0	26
東京喰種
2733	7,593	-5,095	0	25
2734	6,762	-3,333	0	28
2735	5,600	+762	0	17
2736	3,066	-2,809	0	12
2737	2,732	-2,476	0	7
2738	4,312	+4,286	0	12
2739	3,052	-95	0	6
2740	3,166	-3,666	0	10
2741	4,719	+286	0	12
2742	6,181	-5,095	0	18
2743	2,546	-1,476	0	8
2744	1,504	-1,523	0	4
2745	7,311	+7,048	0	15
2746	4,336	-3,000	0	12
2747	4,553	+143	0	16
2748	5,072	-2,619	0	13
2749	4,937	-2,857	0	13
2750	7,252	+3,667	0	17
2751	6,535	-4,857	0	24
2752	2,123	-904	0	7
2753	7,780	+2,191	0	16
2754	6,788	-5,095	0	16
2755	6,850	+3,905	0	19
2756	4,201	+1,905	0	12
2757	9,077	-5,047	0	30
2758	4,706	+334	0	16
2759	4,665	-1,762	0	15
2760	5,878	-4,714	0	15
2761	5,679	+1,858	0	14
2762	2,433	+2,000	0	6
2763	3,117	+5,048	0	5
2764	4,787	-3,571	0	14
2765	6,504	-1,857	0	18
2766	4,154	-1,762	0	12
2767	6,175	+2,858	0	16
2768	3,117	-3,619	0	8
2769	2,205	-2,095	0	5
2770	8,356	-1,190	0	22
2771	2,721	+810	0	6
2772	6,293	-1,666	0	20
2773	3,080	-2,952	0	13
2774	4,002	-2,095	0	7
2775	6,016	-5,095	0	20
2776	4,440	+4,286	0	8
2777	5,320	+2,429	0	15
2778	3,233	-619	0	10
2779	5,526	+2,000	0	13
2780	4,572	-2,000	0	15
2781	3,628	+3,096	0	6
2782	4,778	-3,142	0	13
2783	6,730	+7,619	0	11
2784	7,386	-2,190	0	18
2785	6,674	+6,905	0	15
2786	6,594	+96	0	18
2787	5,391	+1,619	0	13
2788	5,509	+8,429	0	10
2789	2,518	-2,047	0	9
2790	2,985	-762	0	7
2791	1,064	-1,190	0	4
2792	7,802	+4,429	0	16
2793	5,920	-4,095	0	20
2794	5,868	+3,429	0	12
沖ドキ!DUO アンコール
2821	1,917	+7,810	52	9
2822	2,517	-3,428	6	6
2823	2,108	+1,762	25	10
2824	2,207	+5,667	44	10
2825	2,454	-2,619	10	4
2926	2,349	+5,953	43	18
2927	2,731	+96	24	7
2928	1,095	-762	5	4
2929	3,057	-2,476	15	7
2930	3,621	-333	28	10
2931	333	+524	5	2
2932	4,756	-1,952	30	16
2933	190	+238	2	2
2934	1,989	-619	12	11
2935	750	-523	3	2
2936	1,424	+3,048	24	9
沖ドキ!BLACK
2826	2,923	-381	17	8
2827	4,995	-4,523	13	8
2828	5,849	+2,429	45	21
2829	310	+1,000	6	2
2830	2,657	+3,000	29	12
2831	4,806	-2,857	17	14
2832	2,020	-1,238	7	4
2833	2,353	-1,523	7	8
2834	3,810	-4,571	5	6
2835	2,218	+2,381	21	16
2836	790	+1,953	13	4
2837	1,498	+1,000	12	7
2838	4,174	-3,142	14	7
2839	1,149	+429	9	3
2840	3,148	+1,762	26	12
2841	4,589	-3,000	13	16
2878	4,896	-2,952	15	19
2879	1,411	+2,381	16	14
2880	4,476	-3,571	12	11
2881	667	+3,762	19	6
2882	3,201	-1,047	16	8
2883	2,818	-1,904	10	6
2884	991	-95	5	4
2885	5,401	-4,095	13	18
沖ドキ!GOLD‐30
2842	2,064	-1,428	7	4
2843	1,500	+4,191	26	8
2844	2,128	-714	10	6
2845	1,508	-1,095	6	0
2846	593	+667	5	5
2847	2,636	-1,762	9	6
2848	1,495	-1,714	1	4
2849	2,604	+1,096	19	11
2850	4,764	-2,095	20	12
ヤバチバ
2851	3,859	-4,619	11	8
2852	2,240	-2,285	7	11
2853	4,082	+3,000	21	12
2854	3,194	+2,096	18	10
2855	3,300	-3,952	9	8
L南国育ち SPECIAL
2856	3,752	+7,667	54	18
2857	5,517	-5,095	10	7
2858	1,505	+4,524	29	5
2859	3,455	+524	24	6
2860	2,842	-2,666	6	5
スマート沖スロ ニューキングハナハナV
2861	2,786	-666	10	1
2862	5,443	+1,667	25	13
2863	2,926	+381	12	6
2864	4,959	+96	17	14
2865	5,710	-1,142	18	10
沖ドキ!ゴージャス 30Φ
2866	1,967	+3,381	23	17
2867	4,150	-2,000	18	8
2868	4,041	+572	26	17
2869	3,813	-904	20	11
2870	4,176	-2,619	14	11
2871	4,093	-3,809	9	8
2872	4,424	-3,952	12	6
2873	1,231	+1,858	15	6
2874	4,202	-4,523	7	9
2875	5,540	-3,285	20	12
2876	2,796	-142	13	16
2877	3,627	-1,904	13	12
チバリヨ2
2886	1,607	-1,904	3	2
2887	1,361	-762	6	2
2888	2,478	-1,857	9	6
2889	3,934	+4,953	40	15
2890	2,118	-3,142	3	2
2891	2,415	-2,619	6	8
2892	1,954	-2,333	4	5
2893	2,803	-2,142	9	10
