台番号	G数	差枚	BB	RB
スマスロ サンダーV
2001	5,131	-857	16	11
2002	6,597	+2,429	28	21
2003	7,425	+96	29	15
2004	4,783	-1,381	16	3
2005	4,917	-95	20	7
2006	7,101	+667	26	17
2007	8,252	+2,191	35	24
2008	7,578	-190	27	19
SHAKE BONUS TRIGGER
2009	5,031	-1,904	9	11
2010	2,647	-190	8	5
2011	6,822	-95	21	11
2012	4,110	+96	11	13
2013	4,224	-762	11	6
ケロット5
2014	4,685	-666	18	9
2015	2,576	-857	9	5
2016	7,103	+191	30	23
2710	2,213	-571	8	7
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.
2017	4,120	-2,428	10	4
2018	2,128	-1,428	3	7
2019	6,937	+96	22	22
2020	2,180	-238	8	2
2021	6,646	+905	26	16
スマスロ ハナビ
2028	7,310	+2,477	34	21
2029	4,131	-48	13	9
2030	2,648	-952	8	4
2031	6,533	+96	19	26
2032	3,680	+143	13	10
2033	3,553	+238	15	3
2034	3,315	-1,047	8	8
2035	3,488	+619	14	10
バーサスリヴァイズ
2036	6,311	+2,572	27	21
2037	5,870	+1,429	26	12
2038	7,688	-619	22	19
2039	6,618	+619	25	18
ジャグラーガールズ
2040	8,130	+429	31	28
2041	6,264	-476	22	16
2042	6,888	+905	29	25
2043	4,361	-95	14	17
2044	8,021	+191	33	22
2045	2,610	-523	10	5
2046	8,713	+1,048	34	34
2047	3,814	-1,000	10	13
2048	5,604	-1,238	16	19
2049	7,914	+1,334	36	23
2050	5,789	-904	19	18
ファンキージャグラー2
2051	3,850	-428	15	8
2052	5,564	+1,238	24	18
2053	2,963	-1,476	7	5
2054	5,825	+143	21	19
2055	6,596	-428	22	24
2056	5,482	-95	19	19
2057	4,680	+2,238	25	14
2058	4,777	-2,857	8	12
2059	1,980	+191	10	4
2060	4,167	+1,381	19	18
2061	5,664	-238	21	15
2062	2,702	-809	7	5
2063	4,168	-1,000	14	8
2064	2,128	-428	8	3
2065	4,565	-95	23	1
2066	2,607	-1,142	6	4
2067	1,058	-476	3	1
2068	6,304	+1,286	31	14
2069	3,447	+96	14	9
2070	5,534	-809	18	12
2071	0	+0	0	0
2072	4,985	-571	19	12
2073	2,272	-48	9	5
2074	3,825	-476	14	9
2075	1,239	-95	5	3
2076	5,925	+1,191	26	16
2077	4,500	-333	17	11
2078	5,804	-333	23	11
2079	3,539	+334	16	8
2080	2,159	-95	10	1
2081	4,430	-285	18	10
2082	2,258	-95	10	3
2083	4,877	-1,142	15	12
ネオアイムジャグラーEX
2084	3,995	+143	16	11
2085	4,838	+1,000	23	12
2086	3,301	-904	10	8
2087	3,685	+1,905	22	13
2088	3,667	+238	15	9
2089	4,721	+2,953	29	13
2090	3,878	-904	12	9
2091	5,614	+715	24	16
2092	3,555	-1,095	10	6
2093	6,008	-1,428	19	14
2094	4,331	-762	14	9
2095	2,105	-238	7	3
2096	6,060	+667	25	17
2097	4,833	-666	16	12
2098	4,725	-714	17	7
2191	5,650	-3,571	8	15
2192	4,206	+1,381	22	5
2193	2,902	-523	11	5
2194	2,332	-190	9	5
2195	5,100	+477	23	11
2196	2,606	+238	13	4
2197	3,401	+477	16	8
2198	4,349	-476	15	10
2199	6,819	-571	24	14
2200	3,926	+143	16	8
2201	3,208	-904	9	7
2202	2,934	-1,190	7	8
2203	5,889	+1,048	27	14
2204	3,946	-571	15	5
2205	4,077	-238	16	12
2206	4,590	-1,952	9	14
2207	4,426	-95	16	11
2208	3,932	-1,095	11	11
2209	4,885	-190	19	11
2210	4,283	-1,285	14	6
2211	5,742	+143	23	11
2212	3,333	-476	12	7
2213	1,684	-142	7	2
2214	7,460	+2,048	36	21
2215	3,029	+191	12	5
2216	5,112	-619	16	15
2217	5,248	+619	24	8
2218	4,925	-714	15	13
2219	3,003	-1,285	6	6
2220	5,614	-666	17	19
2221	1,143	+238	6	0
2222	2,670	-952	7	7
2223	2,180	-381	8	4
2224	2,673	-666	8	5
2225	1,055	-714	2	1
2226	2,676	-809	8	5
2227	5,107	+524	20	16
2228	1,080	-142	4	1
2229	3,912	+429	18	6
2230	1,449	-857	3	2
2231	5,716	-1,428	20	8
2232	3,309	-952	7	14
2233	1,887	-1,190	3	4
2234	3,667	-1,714	7	10
2235	3,919	-762	11	12
2236	4,078	-333	12	16
2237	3,027	+905	15	8
2238	2,260	+96	10	3
2239	4,889	+143	17	15
2240	4,905	+1,048	23	13
2241	4,209	-1,476	11	10
2242	2,332	-1,190	6	3
2243	1,831	-476	6	1
2244	5,512	-1,285	16	17
2245	2,867	-95	11	7
2246	2,809	+191	10	10
2247	4,521	-48	17	11
2248	5,912	-476	22	11
ウルトラミラクルジャグラー
2099	4,181	-1,381	11	12
2100	4,211	-1,000	11	14
2101	4,098	-428	15	7
2102	5,707	-762	18	17
2103	3,955	-619	14	8
2104	2,406	-1,095	6	2
2105	5,064	-1,428	16	9
ミリオンゴッド‐神々の軌跡‐
2106	5,410	-1,762	0	0
2107	3,379	-2,619	0	0
2108	2,565	-762	0	0
2109	3,374	-523	11	0
2110	5,785	-1,476	0	0
2111	4,749	+2,762	0	0
2112	7,465	+1,762	2	0
2113	3,372	-2,952	0	0
2114	7,977	+9,953	4	0
2115	2,926	-1,523	0	0
2116	6,199	-2,190	0	0
2117	5,319	-2,142	0	0
2118	8,513	-4,142	0	0
2119	5,753	+5,905	14	0
2120	6,939	-5,095	0	0
2121	7,813	-3,095	0	0
2122	4,431	-3,142	0	0
2123	5,247	+1,048	0	0
2124	7,234	-1,142	0	0
2125	5,151	+13,096	8	0
2126	8,112	-381	0	0
2127	2,947	-2,285	0	0
2128	4,599	-2,809	0	0
2145	6,531	+143	0	0
2146	4,849	+11,286	10	0
2147	3,197	-3,142	0	0
2148	3,971	-1,857	0	0
2149	1,759	-1,476	0	0
2150	6,671	-4,904	0	0
2161	3,074	-3,476	0	0
2162	7,237	-428	30	0
2163	1,659	-476	0	0
2164	4,060	-1,714	0	0
2165	5,929	-2,095	0	0
2166	2,684	-3,190	0	0
2624	999	-714	0	0
真打 吉宗
2151	5,682	-3,095	0	10
2152	8,286	+810	0	21
2153	5,780	+2,000	0	9
2154	6,351	-4,619	0	12
2155	5,349	-3,333	0	14
2156	8,102	-2,476	0	15
2157	6,810	+286	0	13
2158	5,663	+1,429	0	9
2159	4,106	-1,285	0	6
2160	7,311	+3,667	0	15
ストリートファイター6
2249	5,263	-2,523	0	13
2250	5,349	+2,429	0	12
2251	4,963	+2,334	0	10
2252	4,798	+1,048	0	8
2253	2,508	-3,047	0	6
2280	3,073	-3,047	0	12
2281	4,707	-619	0	12
2282	5,067	-2,381	0	12
2283	4,494	-142	0	11
2284	6,015	+1,238	0	14
ソードアート・オンラインII
2254	7,853	+9,905	0	0
2255	7,811	+5,810	0	0
2256	8,454	+2,572	0	0
2257	8,021	-1,285	0	0
2258	7,941	+6,572	0	0
2259	9,367	-3,333	0	0
2260	8,252	-3,285	0	0
2261	8,367	+3,524	0	0
2262	7,901	-4,523	0	0
2263	7,598	+11,477	0	0
2264	7,638	-4,428	0	0
2265	9,554	-4,238	0	0
2266	9,121	+8,715	0	0
2267	7,284	-5,095	0	0
2268	6,235	-2,762	0	0
2269	7,923	-5,095	0	0
2270	8,878	+9,191	0	0
2271	8,319	-4,571	0	0
2272	7,336	-3,000	0	0
2273	7,697	-4,762	0	0
2274	7,887	-5,095	0	0
2275	8,404	-5,047	0	0
2276	7,122	-5,047	0	0
2277	6,411	+9,381	0	0
2278	7,078	+2,048	0	0
2279	8,683	+12,572	0	0
モンキーターンV
2285	6,710	-1,428	0	11
2286	5,045	-48	0	15
2287	812	-428	0	1
2288	4,948	-1,000	0	11
2289	1,448	-523	0	3
2290	3,925	+762	0	7
2291	1,280	-809	0	5
2292	4,647	+96	0	11
2293	3,719	+1,238	0	7
2294	1,392	-762	0	3
2295	4,583	+1,238	0	14
2296	3,583	-1,476	0	8
2297	4,954	-1,809	0	12
2298	2,259	-2,000	0	4
2299	3,437	-2,523	0	7
2795	5,034	+1,143	0	9
2796	7,055	+2,429	0	20
2797	1,942	-1,714	0	5
2798	7,292	+2,048	0	17
2799	4,509	+477	0	12
2800	1,204	-762	0	3
2801	7,464	+3,953	0	15
2802	2,817	-1,571	0	7
2803	5,231	-428	0	11
2804	2,689	-285	0	5
2805	2,836	-619	0	7
2806	3,194	-904	0	8
2807	6,455	+3,905	0	12
2808	4,692	+5,048	0	9
2809	4,149	-1,904	0	8
2810	1,318	+191	0	3
2811	5,696	-1,285	0	12
2812	0	+0	0	0
マイジャグラーV
2300	6,220	-1,238	18	17
2301	5,108	-333	18	15
2302	7,546	-571	26	19
2303	5,414	-666	19	12
2304	6,508	-476	25	14
2305	6,032	-1,619	17	18
2306	6,900	+1,524	31	20
2307	5,000	+238	19	12
2308	4,079	-1,904	8	8
2309	7,231	+238	28	22
2310	5,258	-2,285	10	15
2311	7,039	+1,096	33	11
2312	4,596	-1,571	11	14
2313	7,576	+381	30	22
2314	0	+0	0	0
2315	6,107	-1,333	20	13
2316	7,293	+524	30	20
2317	5,077	+1,000	24	13
2318	3,566	-571	14	4
2319	8,080	-333	31	19
2320	6,261	-1,762	17	16
2321	8,420	-3,809	19	20
2322	5,024	-1,285	16	12
2323	5,719	-3,904	9	10
2324	3,981	-1,476	10	7
2325	6,335	-2,285	15	15
2326	6,238	+238	26	13
2327	4,370	-2,095	9	10
2328	5,446	+524	24	14
2329	8,947	-190	31	29
2465	6,426	+1,096	33	9
2466	4,371	+715	19	14
2467	4,516	-1,238	13	11
2468	6,547	-714	22	17
2469	4,977	-381	19	16
2470	5,181	-571	20	10
2471	6,239	-48	24	17
2472	8,227	-1,142	29	20
2473	4,990	+1,286	25	11
2474	6,713	-2,285	20	12
2475	5,521	+96	20	14
2476	6,772	+96	28	17
2477	6,178	+381	26	12
2478	5,150	-523	19	12
2479	7,245	+96	27	25
2480	7,090	-1,047	21	24
2481	6,054	-238	26	10
2482	5,530	-428	22	10
2483	5,847	-476	19	17
2484	4,759	-714	16	11
2485	7,717	-1,047	27	19
2486	4,834	+762	19	15
2487	5,515	-1,428	14	15
2488	0	+0	0	0
2489	7,775	-95	33	12
2490	4,932	-1,142	19	6
2491	4,351	-1,619	13	6
2492	6,384	+524	26	17
2493	5,758	-190	23	12
2494	0	+0	0	0
2495	6,389	+953	25	25
ゴーゴージャグラー3
2330	6,900	+2,810	39	22
2331	3,337	+524	13	16
2332	1,653	-95	7	3
